point,main_point,temp,rain
종로구,서울특별시 종로구 송월동,26.6,○
중구,서울특별시 중구 예장동,24.5,○
용산구,서울특별시 용산구 이촌동,27.6,○
성동구,서울특별시 성동구 성수동1가,28.0,○
광진구,서울특별시 광진구 자양동,26.8,○
동대문구,서울특별시 동대문구 전농동,27.1,○
중랑구,서울특별시 중랑구 면목동,27.7,○
성북구,서울특별시 성북구 정릉동,25.8,○
강북구,서울특별시 강북구 수유동,27.0,○
도봉구,서울특별시 도봉구 방학동,26.3,○
노원구,서울특별시 노원구 공릉동,26.1,○
은평구,서울특별시 은평구 진관동,25.6,○
서대문구,서울특별시 서대문구 신촌동,25.3,○
마포구,서울특별시 마포구 망원동,26.2,○
양천구,서울특별시 양천구 목동,27.2,○
강서구,서울특별시 강서구 화곡동,26.7,○
강서구,서울특별시 강서구 공항동,26.1,-
구로구,서울특별시 구로구 궁동,26.5,○
금천구,서울특별시 금천구 독산동,27.3,○
영등포구,서울특별시 영등포구 여의도동,27.7,○
영등포구,서울특별시 영등포구 당산동,27.2,○
동작구,서울특별시 동작구 사당동,28.2,○
동작구,서울특별시 동작구 신대방동,26.3,○
관악구,서울특별시 관악구 신림동,26.2,○
관악구,서울특별시 관악구 남현동,26.2,○
서초구,서울특별시 서초구 서초동,27.8,○
강남구,서울특별시 강남구 일원동,28.0,○
송파구,서울특별시 송파구 잠실동,27.9,○
강동구,서울특별시 강동구 고덕동,27.7,○
